State,County,StateName,MarineCnts,RtByState,PositiveTestedActiveCasesLast45Days,ProjectedNewInfectionsFromKnownPositiveCases,9/10/2020,9/9/2020,9/8/2020,9/7/2020,9/6/2020,9/5/2020,9/4/2020,9/3/2020,9/2/2020,9/1/2020,8/31/2020,8/30/2020,8/29/2020,8/28/2020,8/27/2020,8/26/2020,8/25/2020,8/24/2020,8/23/2020,8/22/2020,8/21/2020,8/20/2020,8/19/2020,8/18/2020,8/17/2020,8/16/2020,8/15/2020,8/14/2020,8/13/2020,8/12/2020,8/11/2020,8/10/2020,8/9/2020,8/8/2020,8/7/2020,8/6/2020,8/5/2020,8/4/2020,8/3/2020,8/2/2020,8/1/2020,7/31/2020,7/30/2020,7/29/2020,7/28/2020,7/27/2020,7/26/2020,7/25/2020,7/24/2020,7/23/2020,7/22/2020,7/21/2020,7/20/2020,7/19/2020,7/18/2020,7/17/2020,7/16/2020,7/15/2020,7/14/2020,7/13/2020,7/12/2020,7/11/2020,7/10/2020,7/9/2020,7/8/2020,7/7/2020,7/6/2020,7/5/2020,7/4/2020,7/3/2020,7/2/2020,7/1/2020,6/30/2020,6/29/2020,6/28/2020,6/27/2020,6/26/2020,6/25/2020,6/24/2020,6/23/2020,6/22/2020,6/21/2020,6/20/2020,6/19/2020,6/18/2020,6/17/2020,6/16/2020,6/15/2020,6/14/2020,6/13/2020,6/12/2020
MO,St. Louis,Missouri,30,1,9592,9650,21187,21001,20839,20735,20574,20351,20174,20039,19852,19665,19432,19278,19071,18774,18507,18334,18210,17975,17872,17721,17517,17294,17094,16968,16764,16614,16409,16133,15872,15485,15284,14941,14785,14666,14563,14362,14074,13788,13474,13271,13162,12880,12548,12018,11595,11507,11210,10687,10319,9944,9624,9361,9114,8990,8862,8739,8561,8300,8140,7897,7809,7761,7586,7469,7284,7066,6931,6887,6837,6755,6682,6616,6582,6446,6357,6293,6201,6092,6004,5941,5878,5850,5825,5769,5731,5669,5653,5604,5536,5506,5460
IL,Fayette,Illinois,2,0.96,183,150,227,217,217,214,212,202,196,183,176,172,169,165,163,153,144,140,127,120,115,108,103,97,87,81,80,78,78,73,73,71,69,67,66,65,60,60,58,58,58,55,54,53,52,51,44,43,43,41,41,40,39,39,38,35,34,32,30,28,26,25,24,24,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22
MO,St. Charles,Missouri,25,1,3473,3492,6385,6343,6281,6229,6140,6076,6002,5939,5861,5801,5729,5693,5632,5558,5473,5392,5338,5290,5219,5159,5086,5000,4945,4810,4760,4649,4610,4520,4408,4316,4226,4123,4052,3954,3954,3895,3842,3749,3636,3553,3508,3432,3288,3111,2912,2764,2663,2547,2390,2151,2012,1909,1774,1746,1673,1581,1533,1496,1437,1371,1341,1315,1265,1230,1197,1167,1140,1122,1117,1102,1082,1064,1061,1037,1010,1010,1003,995,974,968,957,954,951,943,933,926,922,910,890,890,882
MN,Washington,Minnesota,1,1.07,1593,2579,3316,3296,3292,3264,3235,3203,3168,3124,3071,3003,2996,2962,2916,2861,2808,2715,2682,2663,2618,2568,2521,2478,2435,2404,2392,2354,2300,2255,2227,2192,2163,2155,2128,2077,2037,2009,1978,1938,1917,1886,1852,1817,1792,1760,1723,1700,1672,1631,1597,1572,1550,1515,1465,1458,1422,1402,1369,1344,1324,1306,1283,1255,1228,1190,1163,1137,1114,1082,1069,1069,1048,1025,1008,995,984,968,948,926,917,905,898,885,868,843,833,826,802,799,796,787,766
IL,Madison,Illinois,6,0.96,2751,2043,4693,4631,4585,4536,4498,4448,4380,4219,4182,4102,4040,3982,3956,3868,3818,3752,3666,3606,3562,3503,3441,3366,3289,3241,3152,3111,3051,2969,2855,2777,2702,2634,2591,2530,2470,2410,2320,2266,2222,2186,2137,2099,2047,1975,1942,1915,1840,1762,1694,1651,1604,1540,1534,1478,1457,1413,1368,1310,1285,1258,1198,1167,1133,1095,1077,1054,1042,1036,1007,991,966,947,932,931,917,903,883,872,841,826,815,813,800,785,771,750,740,733,720,707,683
IL,Peoria,Illinois,1,0.96,1689,1277,2755,2712,2659,2647,2624,2581,2544,2466,2441,2414,2406,2382,2325,2301,2271,2255,2220,2190,2165,2142,2095,2050,2015,1966,1917,1890,1866,1807,1758,1717,1667,1630,1607,1574,1525,1488,1445,1399,1341,1302,1280,1252,1189,1106,1066,1036,1018,984,947,915,878,852,838,824,813,794,756,736,710,687,666,644,628,609,583,574,567,556,551,546,507,499,487,487,475,468,463,459,447,442,434,428,423,419,411,405,397,395,389,384,367
IL,McHenry,Illinois,1,0.96,1433,1090,4176,4161,4139,4109,4085,4060,4013,3925,3907,3881,3855,3834,3793,3774,3743,3698,3667,3620,3589,3561,3526,3496,3471,3446,3417,3389,3364,3335,3308,3279,3250,3218,3189,3163,3123,3060,3020,2991,2961,2941,2909,2866,2824,2783,2743,2705,2694,2669,2621,2593,2559,2510,2480,2463,2446,2410,2384,2347,2309,2285,2266,2248,2229,2208,2179,2141,2120,2115,2103,2088,2074,2061,2032,2010,1999,1991,1975,1949,1937,1922,1921,1911,1898,1891,1884,1872,1864,1856,1849,1829,1810
AL,Lauderdale,Alabama,2,1.09,576,1042,1504,1490,1485,1479,1470,1467,1454,1443,1433,1424,1411,1405,1398,1384,1373,1364,1353,1339,1329,1320,1308,1287,1278,1269,1240,1238,1231,1219,1213,1203,1190,1189,1167,1157,1139,1123,1111,1095,1071,1053,1028,1014,990,946,928,918,893,884,857,826,815,798,773,748,730,701,690,664,633,600,577,568,555,537,514,501,496,490,489,473,457,444,410,392,372,363,352,332,323,306,297,296,293,288,280,265,260,249,234,230,216
MD,Anne Arundel,Maryland,1,1.15,2408,7629,8945,8892,8857,8820,8751,8699,8625,8536,8469,8400,8351,8300,8264,8190,8132,8091,8037,8011,7966,7922,7861,7809,7782,7734,7700,7648,7618,7564,7528,7479,7450,7416,7361,7295,7243,7200,7114,7071,7007,6958,6855,6770,6684,6599,6537,6469,6380,6343,6229,6144,6105,6062,6003,5955,5902,5813,5735,5683,5619,5562,5514,5471,5423,5391,5341,5305,5290,5261,5239,5200,5179,5134,5109,5092,5055,5042,5005,4985,4956,4946,4916,4904,4880,4862,4835,4796,4751,4623,4607,4522,4453
MI,Macomb,Michigan,1,1.07,4456,8113,13511,13433,13348,13302,13190,13190,13104,13031,12936,12883,12780,12755,12562,12562,12454,12360,12255,12154,12016,11879,11674,11674,11621,11484,11405,11316,11221,11084,10953,10794,10676,10545,10433,10339,10205,10042,9932,9834,9722,9602,9565,9448,9314,9166,9055,8983,8891,8779,8752,8649,8586,8504,8418,8353,8271,8211,8138,8037,7922,7877,7830,7784,7739,7690,7651,7625,7580,7541,7521,7502,7469,7428,7359,7317,7297,7271,7252,7225,7191,7175,7165,7152,7146,7123,7112,7102,7091,7060,7050,7035,7016
