"State","County","StateRt","MarineCount","OldSlope","OldError","OldPValue","NewSlope","NewError","NewPValue","TestStat","PValue","SlopeDiff"
"MO","St. Louis",1.15,30,133.464285714286,10.1739839286088,4.59480880426038e-05,167.321428571429,11.8857550651772,3.25448337638179e-05,2.16402037275521,0.0278649776436567,33.8571428571428
"IL","Fayette",1.12,2,0.785714285714287,0.123717914826348,0.00142949536952325,1.60714285714286,0.148976097247245,0.000118697231632587,4.24183890298908,0.000855719833032291,0.821428571428574
"MO","St. Charles",1.15,25,42.7857142857143,2.66745311532349,1.71544136920753e-05,78.357142857143,5.41907063347691,2.85451948986257e-05,5.88930673050265,7.66248550713316e-05,35.5714285714287
"MN","Washington",1.07,1,25.1785714285715,1.37979220559198,9.08539293484874e-06,29.0000000000001,1.84722627145652,1.90641649354106e-05,1.65741147954122,0.0642151966371257,3.82142857142861
"IL","Madison",1.12,6,37.1428571428572,1.61498088697858,2.89072863111806e-06,37.1071428571429,2.29679235065795,1.65562246034215e-05,-0.0127199288255902,0.495050715859405,-0.035714285714306
"IL","Peoria",1.12,1,21,0.653093111466424,5.46503469215203e-07,18.1071428571429,1.55042785404943,8.08700755340838e-05,-1.71951658004218,0.0581314112076595,-2.8928571428571
"IL","McHenry",1.12,1,21.9285714285715,1.29638429676463,1.32066974919878e-05,27.107142857143,1.8153961731,2.43834689718681e-05,2.32144159855557,0.0213339287752035,5.17857142857144
"AL","Lauderdale",1.1,2,20.3214285714286,1.97632673081623,0.000149552341206457,21.8571428571429,0.769309258162054,1.0117993711492e-06,0.724127406876458,0.242791641798781,1.53571428571432
"MD","Anne Arundel",1.01,1,48.5357142857145,2.04484169338852,2.47212916635921e-06,61.0357142857144,3.36727195340138,9.39108151699268e-06,3.17296719686391,0.00496871862053692,12.4999999999999
"MI","Macomb",1.03,1,53.5714285714287,4.21028866139185,5.3318396679404e-05,74.1785714285714,1.56939803876571,8.00749124812761e-08,4.58621659009064,0.000500519436365832,20.6071428571427
"KS","Sedgwick",1.1,2,87.5,3.67992346859196,2.45054335256694e-06,89.8928571428572,2.5875979721174,3.71804014089511e-07,0.531910226911836,0.30320117794523,2.3928571428572
"MO","Jefferson",1.15,6,15.2857142857143,0.849969987465341,9.76365214856455e-06,23.6428571428571,0.964153430079826,2.10294350629526e-06,6.50200710210125,3.43894514119821e-05,8.35714285714283
"AL","Colbert",1.1,1,24.25,2.96127213424589,0.000441710324023109,27.3214285714286,0.565820697062676,7.19759398167065e-08,1.01876857972208,0.166163523961487,3.07142857142862
"AL","Madison",1.1,7,174.642857142857,11.4882815183515,2.23304677499412e-05,128.178571428572,9.45913606530971,3.92167430377059e-05,-3.12230748115544,0.0054156771257646,-46.4642857142855
"MO","Phelps",1.15,5,-0.178571428571423,0.0618589574131758,0.0343165992064032,1.32142857142857,0.190996313673156,0.000967392808446492,7.47146470313058,1.06580790848311e-05,1.5
"AL","Morgan",1.1,5,46.8214285714286,2.96746817117532,1.85994187370451e-05,44.2142857142858,2.09104016690068,4.38481316166887e-06,-0.718182576673995,0.244541926050463,-2.6071428571428
"MO","Franklin",1.15,7,10.6785714285715,0.958181738971248,0.000101443601736113,11.1428571428571,0.867791002770711,5.10012963883878e-05,0.359148911695948,0.363475627060088,0.464285714285683
"MO","Polk",1.15,4,0.714285714285714,0.0638876564999941,9.98863252249834e-05,18.3571428571429,1.48770471066084,6.19122391232011e-05,11.8481922442612,1.64634372190706e-07,17.6428571428571
"MO","Warren",1.15,7,1.60714285714286,0.328493779644768,0.00450388259862436,5.5,0.253546276418555,3.86312244459564e-06,9.38122632748019,1.42269456560629e-06,3.89285714285714
"IL","Jefferson",1.12,2,1.25,0.423481681650904,0.0318219594412172,2.67857142857144,0.281667773616145,0.000217444827665664,2.80883362823165,0.00925594556310258,1.42857142857144
"AL","Etowah",1.1,2,44.6428571428572,1.95641279396965,3.00573901030113e-06,44.9642857142857,2.15040337934015,4.63426448744321e-06,0.110563108220854,0.45707515289543,0.321428571428527
"MO","Greene",1.15,18,17.9285714285714,2.03063275551122,0.000309612821969939,23.3571428571429,0.94166591415298,1.9868084262882e-06,2.4252574558359,0.0178694394947742,5.42857142857146
"TX","Dallas",0.99,3,1103.21428571429,12.0846926282127,2.98967749433934e-09,1041.07142857143,110.959410670418,0.000231880812702057,-0.556758069233644,0.29496728257369,-62.1428571428598
"AL","Cullman",1.1,3,31.75,2.4196790983053,4.58903438235755e-05,21.4285714285715,1.19009517712335,9.70509807794344e-06,-3.8276970594792,0.00166568742566526,-10.3214285714285
"AL","Limestone",1.1,1,24.5,0.905200394996623,1.28785240046257e-06,30.1785714285714,0.777062758477219,2.13309815566349e-07,4.75996704316497,0.000384293196114997,5.67857142857141
"MO","Grundy",1.15,1,0.321428571428571,0.061858957413174,0.00347816511528648,0.214285714285713,0.123717914826349,0.143810808711606,-0.774596669241487,0.228251050401377,-0.107142857142858
"AL","Shelby",1.1,6,62.8928571428572,1.51447101292154,1.52724140851129e-07,70.8928571428573,2.85566926284816,1.97838266002953e-06,2.47493415808774,0.0164131787145694,8.00000000000009
"IL","Monroe",1.12,2,4.35714285714286,0.241170614516201,9.54477394622183e-06,3.67857142857144,0.206402618239999,1.02081022707571e-05,-2.13766701175942,0.0291318252646589,-0.67857142857142
"IL","St. Clair",1.12,8,49.0714285714287,2.61803010537568,7.95938165414186e-06,62.9285714285716,3.97453629691698,1.82857070718279e-05,2.91158724769288,0.0077612381945603,13.8571428571429
"AL","Jefferson",1.1,16,241.785714285714,7.04207471747715,3.94198271541597e-07,245.178571428572,9.81209946537293,1.91547808109743e-06,0.280921767774989,0.39224848248047,3.39285714285782
"IL","McLean",1.12,1,6.42857142857144,0.162882203585593,1.96841694612465e-07,11.0357142857143,0.873504552982786,5.51960651839153e-05,5.18494776832496,0.000205064371702373,4.60714285714288
"MS","Union",1.09,1,4,0.46947647786157,0.00036645343545498,10.0357142857143,1.29273874753864,0.000567346221919816,4.38850026683867,0.000679619142310334,6.0357142857143
"IL","Randolph",1.12,2,7.14285714285715,0.380654645556407,7.91543449163421e-06,5.50000000000001,0.776570167138679,0.000868624943856049,-1.89959426988432,0.0433402171045662,-1.64285714285715
